ZION,WFC,WAFD,UAL,TFX,TEX,TCB,SFD,PNC,OCR,ADS,BPFH,C,CBST,F,IOC,IR,JNS,NAK,NAV,NEM
0.090500,0.052000,-0.072100,0.001700,0.049700,0.139500,0.049800,0.032000,0.075600,0.041000,0.059000,0.094400,0.083000,0.014800,0.059000,0.130500,0.091000,-0.084800,0.079700,0.094100,-0.027400
-0.032100,-0.003000,0.029900,-0.043700,-0.005700,-0.010200,-0.017000,0.006000,-0.020500,-0.013000,0.014000,-0.044300,0.033700,0.021500,0.037000,0.042800,-0.012000,0.048700,0.095500,0.003400,-0.013000
0.050100,0.040000,-0.032200,0.099200,0.005200,0.053100,0.012800,0.142000,-0.021600,0.019000,0.020000,0.049800,0.010000,0.000300,-0.043000,-0.173700,-0.007000,-0.011300,-0.095800,-0.025300,0.006000
-0.037700,-0.021000,-0.013300,-0.037800,0.015300,-0.066400,-0.052000,-0.058000,-0.004600,-0.011000,-0.039000,-0.009900,-0.048500,-0.058700,-0.047000,-0.007700,-0.059000,0.044700,-0.176800,-0.139400,0.050800
-0.034300,-0.046000,0.031100,-0.063100,-0.048200,-0.077100,-0.040300,-0.023000,-0.051100,-0.014000,-0.041000,-0.073200,-0.027100,-0.030300,-0.040000,-0.007600,-0.054000,0.078900,-0.081900,-0.030000,0.030000
0.017200,0.005000,-0.009800,-0.084500,-0.013700,-0.010600,-0.020700,0.008000,0.014100,-0.008000,0.024000,0.012300,-0.001000,0.069000,-0.027000,0.033800,0.007000,-0.007100,0.108500,-0.032200,-0.041100
0.008200,0.003000,-0.018500,0.036000,0.002300,-0.062000,0.002700,-0.002000,-0.002200,0.006000,-0.003000,0.015700,-0.012300,0.029600,-0.005000,-0.004900,-0.019000,0.069600,-0.056600,-0.000100,-0.023900
-0.029100,-0.011000,0.010100,-0.002700,0.003300,-0.020700,-0.008600,-0.062000,-0.011500,-0.010000,0.011000,-0.034800,-0.081200,-0.000900,-0.001000,0.038600,0.001000,0.066000,0.009200,-0.014900,0.017800
-0.025500,-0.026000,0.043400,0.124000,-0.009500,-0.081100,-0.013100,-0.070000,0.002800,0.018000,-0.044000,-0.047600,-0.015300,0.029000,-0.024000,-0.094800,-0.008000,0.046700,-0.123600,-0.014400,0.090900
0.033100,0.020000,-0.021100,0.095000,0.033400,-0.003200,0.020800,0.011000,0.011600,-0.014000,0.053000,0.049900,0.008800,-0.000600,0.003000,-0.026800,0.006000,0.037700,-0.040900,0.011600,0.010600
0.020300,-0.045000,0.017000,-0.008600,0.000300,0.057000,0.009500,-0.001000,-0.004500,0.029000,0.079000,-0.037800,0.029200,0.049300,0.049000,0.009100,0.073000,-0.035500,-0.028100,0.043300,-0.025000
-0.042700,-0.055000,0.064900,0.062200,0.048600,-0.039000,-0.016600,-0.003000,-0.015500,-0.003000,-0.016000,-0.020000,-0.030500,0.076000,-0.040000,-0.115200,-0.025000,0.019700,-0.074300,-0.011400,0.004100
0.029900,-0.014000,0.012100,-0.137300,-0.010200,-0.073100,-0.018900,-0.029000,-0.007700,-0.003000,-0.011000,-0.020900,0.024500,0.192900,0.011000,-0.034300,-0.007000,0.008400,0.039600,-0.037100,-0.062400
0.012500,0.004000,-0.017900,-0.024200,0.037300,-0.009100,0.032300,-0.014000,0.031600,0.063000,0.013000,0.059200,-0.002200,0.021100,0.009000,0.006100,0.003000,-0.031700,0.027100,0.015700,-0.007400
0.017100,0.003000,0.001200,0.006000,-0.003600,0.008400,-0.017200,0.087000,-0.015800,0.015000,0.046000,-0.034300,-0.008900,0.006500,0.036000,-0.030600,0.034000,-0.024100,0.065000,0.051700,-0.056900
-0.021900,-0.017000,0.018200,-0.055000,-0.001100,0.089900,-0.004000,0.000000,-0.002300,-0.041000,0.030000,0.002900,-0.015100,0.000800,0.008000,0.109000,0.002000,0.039700,-0.101200,0.006100,0.024200
0.028700,0.015000,0.002400,0.111000,-0.037500,-0.027200,-0.032500,0.003000,0.032200,0.019000,-0.031000,-0.004300,0.006600,0.122600,-0.004000,-0.012800,0.039000,0.059400,-0.153800,0.050200,0.038100
-0.033300,-0.015000,0.027300,-0.070600,0.013700,0.023100,-0.011300,-0.021000,-0.015000,0.039000,0.037000,-0.025000,-0.034100,0.006900,-0.044000,-0.052600,-0.007000,0.035200,0.021900,0.002600,0.003600
-0.025800,-0.007000,0.024900,-0.110300,-0.044100,-0.104300,-0.030600,0.005000,-0.033000,0.054000,-0.008000,-0.012400,-0.042900,-0.022600,-0.044000,-0.003200,-0.041000,0.072700,-0.092200,-0.039100,0.074100
-0.034200,-0.033000,-0.012400,-0.013600,0.027600,0.044000,0.025100,0.001000,-0.007800,-0.015000,0.005000,-0.013600,0.006200,-0.007200,-0.037000,0.019300,-0.008000,-0.046100,0.080400,-0.024400,-0.027700
0.014700,0.031000,-0.029100,0.063900,0.031700,-0.003800,0.042500,0.001000,0.040100,0.028000,0.026000,0.078900,0.012500,0.011300,0.042000,-0.001600,-0.009000,-0.068000,-0.135600,0.021100,0.001600
0.050100,0.030000,-0.022900,-0.007700,0.027700,0.155900,0.050100,0.138000,0.031400,0.026000,0.074000,0.027000,0.021200,-0.009400,-0.034000,0.062600,0.039000,-0.019500,0.148600,0.005700,-0.034600
-0.036300,-0.021000,0.007800,0.088400,0.003200,0.018000,-0.029300,-0.036000,-0.011800,0.024000,-0.005000,-0.011900,-0.034800,0.001400,-0.094000,0.012200,0.011000,0.022300,0.022900,0.063300,0.015300
-0.011400,-0.007000,0.029300,-0.082300,-0.002600,-0.015800,-0.027800,0.010000,-0.052700,-0.025000,-0.007000,0.024300,-0.046700,-0.010700,-0.037000,-0.103100,-0.026000,0.049400,0.063000,-0.053200,-0.002200
0.000800,0.040000,-0.041800,-0.002700,0.039600,0.098800,0.051700,0.056000,0.038500,0.057000,0.013000,0.018600,0.038300,0.005400,0.021000,0.001400,0.005000,-0.038600,0.179400,0.058700,0.021000
